,bully_severity,is_bully,post
0,0.0,False,what&#039;s your favorite song? :DI like too many songs to have a favorite
1,0.0,False,<3</3 ? haha jk! <33
2,0.0,False,&quot;hey angel  you duh sexy&quot;Really?!?! Thanks?! haha
3,0.0,False,(:;(
4,0.0,False,******************MEOWWW**************************RAWR*?
5,0.0,False,any makeup tips? i suck at doing my makeup lolSure! Like tell me wht u wnna know?! Like wht do you use?!
6,0.0,False,Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw hahaEMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333
7,0.0,False,Are you a morning or night person?Night 4shuree!!
8,0.0,False,are you a trusting person?alreadi answrd
9,0.0,False,are you a trusting person?Yes veryy trustin person!!! May i help yuh:!
10,0.0,False,Are you and @TruAce best friends?Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk
11,0.0,False,Are you more of a talker or more of a listener?Listener definitely chuz i get cut off alot so i just listen or ignore pplz!
12,0.0,False,Are yuh single and ready 2 mingle?!Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!
13,0.0,False,ask me something!!!:)
14,0.0,False,BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha
15,0.0,False,bahahahahhaha ;plmaoo!!!!
16,0.0,False,Bitch u thee bomb like Tick TICK!Hahah(: Thanks!
17,0.0,False,can you please sing a cover of any justin bieber song? :DHahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!
18,0.0,False,Cats or Dogs?Dogs! Im allergic 2 cats=
19,0.0,False,Chocolate or Vanilla?Chocolate! Bahah!
20,0.0,False,definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!
21,0.0,False,Did u watch bieber on oprah?Well sortaa! I just got 2 wtch thee Charice part! Shes awesome <3 hbu?!
22,0.0,False,Do you believe in life after death?Yes of course i do... Its called Eternity with God in heaven!<3
23,0.0,False,Do you believe in luck?Yes  bhut I think luck is blessing from God actually! in my opinioN!
24,0.0,False,Do you believe there&#039;s intelligent life on other planets?If God created them then hellz yes!
25,0.0,False,Do you consider yourself a good dancer?Hahaha Bitch i bring it lmao! Kinda i think lmao! I hve some black in me so yes haha
26,0.0,False,do you have a bf??Nope ;/ Bhut Not Having a BF doesnt mean The WORLD ends;] I guess im waiting 4 the 1  ya kno? Hbu mamas?!
27,0.0,False,Do you have any favorite YouTube star?I have 2 actually! Justin Bieber (ofcourse) &amp;&amp; Scipio Mondai!
28,2.0,True,do you have any memories you&#039;d like to forget?Actually i do!!! Just my whole experience with this fake a$$ friend!!</3
29,0.0,False,Do you have any piercings?Yuppers! Nose and Cartilage piercings(;
30,0.0,False,Do you have any scars on your body?  If so  how&#039;d you get them?Hahaha. Strange!:S
31,0.0,False,do you like atlanta  GA ?yes i love ATL!! great place 2 live  wish i lived there! ;D
32,0.0,False,do you think that a size 10 is fat? i&#039;m trying to be a size 5 by the end of the year.Omg NO WAY!!! 10 is actually small!!! Don't change thee way you look 4 ANYONE!!! bhut yourslf. Kay?!
33,0.0,False,do you think you&#039;re a good friend?Fuck yes i think i am! haha
34,0.0,False,do you watch american idol? if so  who are you voting for this season?Awww man you just reminded me! I wtch it sometimes bhut i love Big Mike! Pplz are really wrong bout letting Katie go!! Argh . .
35,0.0,False,Do yuh have any stalkers?Hell yes! Lots of them and thats including yuh!<3
36,0.0,False,don&#039;t listen to the haters  you are pretty!:D thank you gurl/boy ? I really appreciate it!<33
37,0.0,False,Favorite store?ATM Rue 21;D Or Forever21 <3
38,3.6666666666666665,True,Fuck Justin bieber. He&#039;s a fucking fagUM excuse yuh? HE IS NOT!! Ur a fuckin idiot! Kay? good
39,0.0,False,growl;]Meowl?;D If thts a word haha<3
40,0.0,False,guesss who ;)Idk hoe get cha own cup of blackberry with a hint of lemon ice tea. Dayumm! hahah JK Brooke?
41,0.0,False,-Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3Off courrseeee dudee hahahahaha!!!! Awhhh lol! i think i love it 2 chuz im in it lol!!!! jk! i love yuh!!
42,0.0,False,haaa its all qud  sorry abouht the &quot;hoe&quot; thinq  iwas mad lollmfao! haha! Nahh its my badd;)
43,0.0,False,haha ;)so.. have u ever been to france?Pfftt!! nahhh i hve never been outta this country!! Argh! hve yuh?! haha
44,0.0,False,haha check inside ur closet u mind find out who it is(;Lmao!! kk lemme get my ass off this toliet seat then ill check!! Mwahah!! jk
45,0.0,False,HAHA NOPE IM NOT TAQUISHA EITHER....i TALK TO YOU ALOT ON TWITTER;) <3OMG!!!!! tell me!!!! ughh grrr rawrr bianca? LMAO! idkk TELL ME!
46,0.0,False,HAHAH GUESS WHO!? <3Mary?! lol hahahaha
47,0.0,False,hahah okey dokey!..sweet thang(;Mwahaha!!! Sweet thang! i love it!!
48,5.5,True,Hahah. Funny how u defend that beiber kid.&amp; its also funny how u stalked my whole twitter! Nice goin! BITCH!
49,0.0,False,HAHAHA NOPE! ...Uhhhhh!!!! OMG! Taquisha? LOL!
50,0.0,False,Have u ever licked thee floor?Hahaha.. Yup!(: Its my job
51,0.0,False,have u seen JUSTIN BIEBER in person? (:Nope:[ I wish  bhut hey i might someday rite haha..Hbu?!
52,0.0,False,Have you broken any bones?  If so  how?Haha nahh ive just fractured some thumbs bhut itz all good lol
53,0.0,False,have you ever been on itellyouthat.com? go there and tell something to the world :DHahah OHKAY?!
54,0.0,False,have you ever had your heart broken?Yup yup!!:P
55,0.0,False,hehe yup  it&#039;s awesome  but the pronunciation is incredibly haaard :Dhaha!! it is haha lol!! man i hvnt even gotten 2 dat part yet! FML hah
56,0.0,False,Hello bitch! How&#039;s ur day going? Good I hope :) it&#039;s beautiful and sunny!Ohh heyy bitchh!!! its goin good..:D thx 4 askin
